#SampleID	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type
SRR14300514	SRP315877	SINGH_2021	C3-31_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300515	SRP315877	SINGH_2021	C3-32_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300516	SRP315877	SINGH_2021	C3-33_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300517	SRP315877	SINGH_2021	C3-34_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300518	SRP315877	SINGH_2021	C3-35_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300519	SRP315877	SINGH_2021	C6-42_S79_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300520	SRP315877	SINGH_2021	C3-36_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300521	SRP315877	SINGH_2021	C3-37_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300522	SRP315877	SINGH_2021	C3-38_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300523	SRP315877	SINGH_2021	C3-39_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300524	SRP315877	SINGH_2021	C3-40_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300525	SRP315877	SINGH_2021	C3-41_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300526	SRP315877	SINGH_2021	C3-42_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300527	SRP315877	SINGH_2021	C3-43_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300528	SRP315877	SINGH_2021	C3-44_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300529	SRP315877	SINGH_2021	C3-45_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300530	SRP315877	SINGH_2021	C6-43_S80_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300531	SRP315877	SINGH_2021	C3-46_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300532	SRP315877	SINGH_2021	C3-47_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300533	SRP315877	SINGH_2021	C3-48_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300534	SRP315877	SINGH_2021	C3-49_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300535	SRP315877	SINGH_2021	C3-50_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300536	SRP315877	SINGH_2021	C3-51_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300537	SRP315877	SINGH_2021	C3-52_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300538	SRP315877	SINGH_2021	C3-53_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
